Epoch,Timestamp,ProcessMemoryUsedKB,TotalMemoryKB,AvailableMemoryKB
1,1723438810,20504,404308377,326084669
2,1723438820,20504,404308377,326089134
3,1723438830,20504,404308377,326094708
4,1723438840,20504,404308377,326094970
5,1723438850,20504,404308377,326096252
6,1723438860,20504,404308377,326095773
7,1723438870,20504,404308377,326106296
8,1723438880,20636,404308377,326102441
9,1723438890,21032,404308377,326102491
10,1723438900,21032,404308377,326106976
11,1723438910,21032,404308377,326108266
12,1723438920,21296,404308377,326117060
13,1723438930,21296,404308377,326117076
14,1723438940,21296,404308377,326120239
15,1723438950,21296,404308377,326119202
16,1723438960,21296,404308377,326124167
17,1723438970,21296,404308377,326126022
18,1723438980,21296,404308377,326127730
19,1723438990,21296,404308377,326130032
20,1723439000,21296,404308377,326134378
21,1723439010,21296,404308377,326134910
22,1723439020,21296,404308377,326145384
23,1723439030,21296,404308377,326146863
24,1723439040,21296,404308377,326149910
25,1723439050,21296,404308377,326146572
26,1723439060,21296,404308377,326149775
27,1723439070,21296,404308377,326150885
28,1723439080,21296,404308377,326154760
29,1723439090,21296,404308377,326155223
30,1723439100,21296,404308377,326155223
31,1723439110,21296,404308377,326158028
32,1723439120,21296,404308377,326158802
33,1723439130,21296,404308377,326161055
34,1723439140,21296,404308377,326162702
35,1723439150,21296,404308377,326169681
36,1723439160,21296,404308377,326174818
37,1723439170,21296,404308377,326174818
38,1723439180,21296,404308377,326178496
39,1723439190,21296,404308377,326178791
40,1723439200,21296,404308377,326178791
41,1723439210,21296,404308377,326179782
42,1723439220,21296,404308377,326179524
43,1723439230,21296,404308377,326177726
44,1723439240,21296,404308377,326185857
45,1723439250,21296,404308377,326187421
46,1723439260,21296,404308377,326188425
47,1723439270,21296,404308377,326192656
48,1723439269,21296,404308377,326192656
49,1723439279,21296,404308377,326193815
50,1723439289,21296,404308377,326189944
51,1723439299,21296,404308377,326189461
52,1723439309,21296,404308377,326189907
53,1723439319,21296,404308377,326206353
54,1723439329,21296,404308377,326206050
55,1723439339,21296,404308377,326207864
56,1723439349,21296,404308377,326215970
57,1723439359,21296,404308377,326215462
58,1723439369,21296,404308377,326215852
59,1723439379,21296,404308377,326222057
60,1723439389,21296,404308377,326218522
61,1723439399,21296,404308377,326218522
62,1723439409,21296,404308377,326217490
63,1723439419,21296,404308377,326214922
64,1723439429,21296,404308377,326216212
65,1723439439,21296,404308377,326216826
66,1723439449,21296,404308377,326216568
67,1723439459,21296,404308377,326216581
68,1723439469,21296,404308377,326214549
69,1723439479,21296,404308377,326212485
70,1723439489,21296,404308377,326211969
71,1723439499,21296,404308377,326215663
72,1723439509,21296,404308377,326214475
73,1723439519,21296,404308377,326213611
74,1723439529,21296,404308377,326213091
75,1723439539,21296,404308377,326213349
76,1723439549,21296,404308377,326213378
77,1723439559,21296,404308377,326213894
78,1723439569,21296,404308377,326214152
79,1723439579,21296,404308377,326214152
80,1723439589,21296,404308377,326212960
81,1723439599,21296,404308377,326208266
82,1723439609,21296,404308377,326201307
83,1723439619,21296,404308377,326201565
84,1723439629,21296,404308377,326200532
85,1723439639,21296,404308377,326200336
86,1723439649,21296,404308377,326200336
87,1723439659,21296,404308377,326201462
88,1723439669,21296,404308377,326201270
89,1723439679,21296,404308377,326201671
90,1723439689,21296,404308377,326200918
91,1723439699,21296,404308377,326200479
92,1723439699,21296,404308377,326200479
