Epoch end timestamp,Packets processed this epoch,Total packets processed
1723438810, 1506490, 1506490
Flow key,Count
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723438940, 1410673, 21065369
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4279
("", "150.124.181.229", 0, 0, 0, 0, 0),561
("", "203.193.121.80", 0, 0, 0, 0, 0),498
("", "203.193.115.144", 0, 0, 0, 0, 0),450
("", "150.124.156.14", 0, 0, 0, 0, 0),386
("", "131.98.137.48", 0, 0, 0, 0, 0),225
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723438950, 1442069, 22507438
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),3930
("", "150.124.181.229", 0, 0, 0, 0, 0),643
("", "203.193.121.80", 0, 0, 0, 0, 0),630
("", "203.193.115.144", 0, 0, 0, 0, 0),555
("", "131.98.137.48", 0, 0, 0, 0, 0),228
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723438960, 1391241, 23898679
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4171
("", "150.124.156.14", 0, 0, 0, 0, 0),724
("", "203.193.121.80", 0, 0, 0, 0, 0),368
("", "150.124.181.229", 0, 0, 0, 0, 0),328
("", "203.193.115.144", 0, 0, 0, 0, 0),315
("", "131.98.137.48", 0, 0, 0, 0, 0),269
("", "150.124.244.56", 0, 0, 0, 0, 0),141
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723438970, 1326386, 25225065
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4172
("", "150.124.156.12", 0, 0, 0, 0, 0),334
("", "203.193.121.80", 0, 0, 0, 0, 0),286
("", "150.124.181.229", 0, 0, 0, 0, 0),246
("", "203.193.115.144", 0, 0, 0, 0, 0),244
("", "131.98.137.48", 0, 0, 0, 0, 0),241
("", "150.124.156.14", 0, 0, 0, 0, 0),188
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723438980, 1465178, 26690243
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),3683
("", "203.193.121.80", 0, 0, 0, 0, 0),700
("", "203.193.115.144", 0, 0, 0, 0, 0),652
("", "150.124.181.229", 0, 0, 0, 0, 0),524
("", "150.124.156.12", 0, 0, 0, 0, 0),335
("", "131.98.137.48", 0, 0, 0, 0, 0),221
("", "150.124.156.14", 0, 0, 0, 0, 0),195
("", "150.124.244.56", 0, 0, 0, 0, 0),156
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723438990, 1467289, 28157532
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4368
("", "203.193.121.80", 0, 0, 0, 0, 0),432
("", "203.193.115.144", 0, 0, 0, 0, 0),391
("", "150.124.181.229", 0, 0, 0, 0, 0),346
("", "131.98.137.48", 0, 0, 0, 0, 0),219
("", "150.124.156.14", 0, 0, 0, 0, 0),208
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439000, 1433193, 29590725
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),3830
("", "203.193.121.80", 0, 0, 0, 0, 0),511
("", "203.193.115.144", 0, 0, 0, 0, 0),476
("", "150.124.156.14", 0, 0, 0, 0, 0),458
("", "150.124.181.229", 0, 0, 0, 0, 0),438
("", "131.98.137.48", 0, 0, 0, 0, 0),203
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439010, 1490986, 31081711
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),3741
("", "203.193.121.80", 0, 0, 0, 0, 0),522
("", "150.124.181.229", 0, 0, 0, 0, 0),458
("", "203.193.115.144", 0, 0, 0, 0, 0),440
("", "131.98.137.48", 0, 0, 0, 0, 0),222
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439020, 1510459, 32592170
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4566
("", "150.124.156.14", 0, 0, 0, 0, 0),474
("", "203.193.121.80", 0, 0, 0, 0, 0),404
("", "150.124.181.229", 0, 0, 0, 0, 0),360
("", "203.193.115.144", 0, 0, 0, 0, 0),353
("", "131.98.137.48", 0, 0, 0, 0, 0),283
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439030, 1387751, 33979921
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4344
("", "150.124.181.229", 0, 0, 0, 0, 0),487
("", "203.193.121.80", 0, 0, 0, 0, 0),450
("", "203.193.115.144", 0, 0, 0, 0, 0),403
("", "150.124.156.12", 0, 0, 0, 0, 0),325
("", "131.98.137.48", 0, 0, 0, 0, 0),241
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439040, 1379273, 35359194
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),3836
("", "150.124.181.229", 0, 0, 0, 0, 0),539
("", "203.193.121.80", 0, 0, 0, 0, 0),524
("", "203.193.115.144", 0, 0, 0, 0, 0),449
("", "150.124.156.14", 0, 0, 0, 0, 0),334
("", "131.98.137.48", 0, 0, 0, 0, 0),190
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439050, 1488837, 36848031
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4017
("", "150.124.181.229", 0, 0, 0, 0, 0),497
("", "203.193.121.80", 0, 0, 0, 0, 0),479
("", "203.193.115.144", 0, 0, 0, 0, 0),410
("", "131.98.137.48", 0, 0, 0, 0, 0),238
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439060, 1399641, 38247672
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4456
("", "150.124.156.14", 0, 0, 0, 0, 0),756
("", "150.124.181.229", 0, 0, 0, 0, 0),556
("", "203.193.121.80", 0, 0, 0, 0, 0),446
("", "203.193.115.144", 0, 0, 0, 0, 0),401
("", "131.98.137.48", 0, 0, 0, 0, 0),246
Epoch end timestamp,Packets processed this epoch,Total packets processed
1723439070, 1380549, 39628221
Flow key,Count
("", "202.21.43.188", 0, 0, 0, 0, 0),4119
("", "150.124.181.229", 0, 0, 0, 0, 0),556
