New TCP connections detected: 203.193.120.56 -> True: 273, Estimated: 1168, ARE: 1.0000
New TCP connections detected: 203.193.121.131 -> True: 606, Estimated: 1461, ARE: 1.0000
New TCP connections detected: 203.193.121.80 -> True: 7030, Estimated: 7965, ARE: 0.1330
New TCP connections detected: 203.193.121.85 -> True: 593, Estimated: 1506, ARE: 1.0000
New TCP connections detected: 203.193.122.75 -> True: 621, Estimated: 1350, ARE: 1.0000
New TCP connections detected: 203.193.124.230 -> True: 652, Estimated: 1483, ARE: 1.0000
New TCP connections detected: 203.193.125.29 -> True: 670, Estimated: 1621, ARE: 1.0000
New TCP connections detected: 203.193.125.85 -> True: 477, Estimated: 1427, ARE: 1.0000
New TCP connections detected: 203.193.125.92 -> True: 687, Estimated: 1544, ARE: 1.0000
New TCP connections detected: 43.22.102.20 -> True: 711, Estimated: 1595, ARE: 1.0000
New TCP connections detected: 43.22.126.129 -> True: 218, Estimated: 1111, ARE: 1.0000
New TCP connections detected: 54.17.217.213 -> True: 269, Estimated: 1208, ARE: 1.0000
Average ARE for epoch: 1.0000
New TCP connections detected: 1.254.174.225 -> True: 259, Estimated: 1085, ARE: 1.0000
New TCP connections detected: 104.226.236.161 -> True: 220, Estimated: 1063, ARE: 1.0000
New TCP connections detected: 104.59.50.17 -> True: 547, Estimated: 1477, ARE: 1.0000
New TCP connections detected: 130.189.92.134 -> True: 356, Estimated: 1305, ARE: 1.0000
New TCP connections detected: 131.98.137.48 -> True: 5034, Estimated: 5923, ARE: 0.1766
New TCP connections detected: 131.98.99.244 -> True: 493, Estimated: 1515, ARE: 1.0000
New TCP connections detected: 131.98.99.245 -> True: 469, Estimated: 1441, ARE: 1.0000
New TCP connections detected: 131.99.1.110 -> True: 554, Estimated: 1464, ARE: 1.0000
New TCP connections detected: 131.99.79.126 -> True: 201, Estimated: 1199, ARE: 1.0000
New TCP connections detected: 131.99.80.181 -> True: 308, Estimated: 1186, ARE: 1.0000
New TCP connections detected: 131.99.80.24 -> True: 1852, Estimated: 2734, ARE: 0.4762
New TCP connections detected: 131.99.81.23 -> True: 272, Estimated: 1268, ARE: 1.0000
New TCP connections detected: 131.99.96.179 -> True: 311, Estimated: 1251, ARE: 1.0000
New TCP connections detected: 133.11.104.187 -> True: 392, Estimated: 1211, ARE: 1.0000
New TCP connections detected: 133.11.38.93 -> True: 239, Estimated: 1112, ARE: 1.0000
New TCP connections detected: 133.11.39.75 -> True: 244, Estimated: 1247, ARE: 1.0000
New TCP connections detected: 133.23.76.165 -> True: 263, Estimated: 1106, ARE: 1.0000
New TCP connections detected: 133.3.126.30 -> True: 613, Estimated: 1527, ARE: 1.0000
New TCP connections detected: 133.3.126.31 -> True: 648, Estimated: 1567, ARE: 1.0000
New TCP connections detected: 133.3.126.40 -> True: 683, Estimated: 1666, ARE: 1.0000
New TCP connections detected: 133.3.126.54 -> True: 590, Estimated: 1473, ARE: 1.0000
New TCP connections detected: 133.3.126.57 -> True: 625, Estimated: 1500, ARE: 1.0000
New TCP connections detected: 133.3.126.60 -> True: 703, Estimated: 1533, ARE: 1.0000
New TCP connections detected: 133.3.228.174 -> True: 265, Estimated: 1136, ARE: 1.0000
New TCP connections detected: 133.3.248.224 -> True: 283, Estimated: 1284, ARE: 1.0000
New TCP connections detected: 133.3.252.102 -> True: 577, Estimated: 1522, ARE: 1.0000
New TCP connections detected: 133.3.254.31 -> True: 292, Estimated: 1246, ARE: 1.0000
New TCP connections detected: 150.124.112.108 -> True: 204, Estimated: 1016, ARE: 1.0000
New TCP connections detected: 150.124.136.37 -> True: 598, Estimated: 1520, ARE: 1.0000
New TCP connections detected: 150.124.156.12 -> True: 1917, Estimated: 2821, ARE: 0.4716
New TCP connections detected: 150.124.156.14 -> True: 5317, Estimated: 6165, ARE: 0.1595
New TCP connections detected: 150.124.181.229 -> True: 8973, Estimated: 9915, ARE: 0.1050
New TCP connections detected: 150.124.182.98 -> True: 609, Estimated: 1540, ARE: 1.0000
New TCP connections detected: 150.124.183.228 -> True: 381, Estimated: 1270, ARE: 1.0000
New TCP connections detected: 150.124.207.130 -> True: 625, Estimated: 1463, ARE: 1.0000
New TCP connections detected: 150.124.225.67 -> True: 454, Estimated: 1362, ARE: 1.0000
New TCP connections detected: 150.124.243.214 -> True: 306, Estimated: 1188, ARE: 1.0000
New TCP connections detected: 150.124.244.56 -> True: 1724, Estimated: 2575, ARE: 0.4936
New TCP connections detected: 153.65.100.158 -> True: 358, Estimated: 1270, ARE: 1.0000
New TCP connections detected: 157.90.154.232 -> True: 282, Estimated: 1253, ARE: 1.0000
New TCP connections detected: 157.90.225.132 -> True: 289, Estimated: 1280, ARE: 1.0000
New TCP connections detected: 157.90.8.172 -> True: 271, Estimated: 1133, ARE: 1.0000
New TCP connections detected: 162.227.133.120 -> True: 589, Estimated: 1569, ARE: 1.0000
New TCP connections detected: 163.19.0.132 -> True: 499, Estimated: 1365, ARE: 1.0000
New TCP connections detected: 163.19.0.49 -> True: 359, Estimated: 1343, ARE: 1.0000
New TCP connections detected: 163.19.21.15 -> True: 564, Estimated: 1516, ARE: 1.0000
New TCP connections detected: 163.19.21.3 -> True: 610, Estimated: 1536, ARE: 1.0000
New TCP connections detected: 163.19.34.75 -> True: 920, Estimated: 1812, ARE: 0.9696
New TCP connections detected: 163.19.4.219 -> True: 687, Estimated: 1541, ARE: 1.0000
New TCP connections detected: 163.19.7.47 -> True: 696, Estimated: 1596, ARE: 1.0000
New TCP connections detected: 175.214.57.206 -> True: 484, Estimated: 1395, ARE: 1.0000
New TCP connections detected: 202.12.26.38 -> True: 452, Estimated: 1424, ARE: 1.0000
New TCP connections detected: 202.12.30.224 -> True: 240, Estimated: 1242, ARE: 1.0000
New TCP connections detected: 202.21.42.114 -> True: 370, Estimated: 1255, ARE: 1.0000
New TCP connections detected: 202.21.42.137 -> True: 574, Estimated: 1533, ARE: 1.0000
New TCP connections detected: 202.21.42.172 -> True: 598, Estimated: 1442, ARE: 1.0000
New TCP connections detected: 202.21.42.252 -> True: 372, Estimated: 1292, ARE: 1.0000
New TCP connections detected: 202.21.42.54 -> True: 713, Estimated: 1532, ARE: 1.0000
New TCP connections detected: 202.21.43.131 -> True: 369, Estimated: 1360, ARE: 1.0000
New TCP connections detected: 202.21.43.188 -> True: 65394, Estimated: 66352, ARE: 0.0146
New TCP connections detected: 202.21.43.4 -> True: 703, Estimated: 1665, ARE: 1.0000
